,participant_id,valuable_experience,chance_of_job,program_community,broader_movement,mentor,next_generation_leaders,relationships_virtual_hybrid
35,57,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
36,58,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree
37,59,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Agree,Agree,Strongly Agree
38,60,Agree,Improved my chances quite a bit,Agree,Agree,Neither Agree nor Disagree,Agree,Agree
39,61,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
40,62,Agree,Moderately improved my chances,Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree
41,63,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
42,67,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
43,69,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
44,70,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
45,71,Moderately Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
46,72,Neither Agree nor Disagree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
47,74,Strongly Agree,Improved my chances a great deal,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree
48,81,Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
49,85,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
50,86,Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Agree,Agree
51,87,Neither Agree nor Disagree,Improved my chances a little,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree
52,88,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Somewhat Agree
53,89,Strongly Agree,Improved my chances a great deal,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
54,90,Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
55,92,Moderately Agree,Moderately improved my chances,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
56,93,Moderately Agree,Improved my chances a little,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree
57,96,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
58,98,Agree,Improved my chances a great deal,Agree,Agree,Agree,Strongly Agree,Agree
59,99,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
60,103,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
61,104,Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
62,105,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
63,106,Strongly Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Agree,Agree
64,107,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
65,108,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
66,109,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
67,117,Strongly Disagree,Improved my chances a great deal,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
68,118,Agree,Improved my chances a great deal,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree
69,119,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
70,120,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
71,121,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
72,122,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree
73,123,Moderately Disagree,Improved my chances quite a bit,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
74,124,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
75,125,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Agree,Strongly Agree,Agree
76,126,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
77,127,Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Agree,Agree
78,128,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Strongly Agree,Agree
79,129,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
80,130,Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
81,131,Strongly Agree,Improved my chances a little,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
82,132,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
83,133,Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
84,134,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
85,135,Agree,Improved my chances quite a bit,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Neither Agree nor Disagree
86,136,Moderately Agree,Improved my chances a little,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree
87,137,Strongly Agree,Improved my chances a great deal,Neither Agree nor Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree
88,138,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
89,139,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
90,140,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
91,142,Agree,Improved my chances quite a bit,Agree,Agree,Somewhat Agree,Agree,Agree
92,143,Agree,Moderately improved my chances,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree
93,144,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
94,145,Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
95,146,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
96,147,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree
97,148,Agree,Improved my chances quite a bit,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
98,149,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
99,150,Neither Agree nor Disagree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree
100,151,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree
101,152,Agree,Improved my chances quite a bit,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree
102,153,Moderately Agree,Improved my chances a little,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree
103,154,Agree,Moderately improved my chances,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
104,155,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Strongly Agree,Agree,Agree
105,156,Neither Agree nor Disagree,Improved my chances a little,Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree
106,157,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree
107,158,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree
108,159,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
109,160,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree
110,161,Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
111,162,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree
112,163,Moderately Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
113,164,Neither Agree nor Disagree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
114,166,Agree,Improved my chances quite a bit,Strongly Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree
115,167,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
116,168,Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree
117,169,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
118,170,Neither Agree nor Disagree,Improved my chances quite a bit,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Agree,Agree
119,171,Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
120,172,Neither Agree nor Disagree,Moderately improved my chances,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Strongly Agree
121,173,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
122,200,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
123,261,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
124,264,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
125,279,Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree
126,285,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
127,337,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
128,357,Strongly Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree
129,378,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
130,379,Moderately Agree,Moderately improved my chances,Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree
131,380,Neither Agree nor Disagree,Improved my chances a little,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
132,381,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree
133,382,Neither Agree nor Disagree,Improved my chances a little,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
134,383,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
135,384,Agree,Improved my chances quite a bit,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
136,385,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
137,386,Agree,Moderately improved my chances,Agree,Agree,Agree,Agree,Agree
138,387,Moderately Agree,Moderately improved my chances,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
139,388,Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
140,389,Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree
141,390,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Strongly Agree,Agree
142,391,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Agree,Strongly Agree,Agree
143,392,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
144,393,Strongly Agree,Improved my chances quite a bit,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
145,394,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
146,395,Strongly Agree,Improved my chances a little,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
147,396,Strongly Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Agree,Agree
148,397,Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
149,398,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
150,399,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
151,400,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
152,401,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
153,402,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
154,403,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Somewhat Agree,Agree,Agree
155,404,Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
156,405,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
157,406,Agree,Moderately improved my chances,Neither Agree nor Disagree,Agree,Agree,Agree,Agree
158,407,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
159,408,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
160,409,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
161,410,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
162,411,Strongly Agree,Moderately improved my chances,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
163,412,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
164,413,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
165,414,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
166,415,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree
167,416,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree
168,417,Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
169,418,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
170,419,Strongly Agree,Improved my chances a great deal,Agree,Agree,Strongly Agree,Strongly Agree,Agree
171,420,Neither Agree nor Disagree,Moderately improved my chances,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree
172,421,Agree,Improved my chances a great deal,Agree,Agree,Agree,Strongly Agree,Agree
173,422,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Somewhat Agree
174,423,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
175,424,Neither Agree nor Disagree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree
176,425,Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
177,426,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
178,427,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
179,428,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
180,429,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
181,430,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
182,431,Strongly Agree,Improved my chances a great deal,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
183,432,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree
184,433,Strongly Agree,Improved my chances a great deal,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
185,434,Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
186,435,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
187,436,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
188,437,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
189,438,Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree
190,439,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
191,440,Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree
192,441,Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
193,442,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
194,443,Moderately Agree,Improved my chances quite a bit,Agree,Neither Agree nor Disagree,Disagree,Agree,Somewhat Agree
195,444,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Strongly Agree,Agree
196,445,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
197,446,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
198,447,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
199,448,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree
200,449,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
201,450,Agree,Improved my chances a great deal,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
202,451,Agree,Moderately improved my chances,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree
203,452,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
204,453,Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
205,454,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Strongly Agree,Agree
206,455,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
207,456,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Strongly Agree,Strongly Agree
208,457,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
209,458,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Agree,Strongly Agree,Agree
210,459,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Agree,Agree,Agree
211,460,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree
212,461,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
213,462,Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
214,463,Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
215,464,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
216,465,Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
217,466,Moderately Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
218,467,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
219,468,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
220,469,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Somewhat Agree
221,470,Agree,Moderately improved my chances,Agree,Agree,Agree,Agree,Agree
222,471,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
223,472,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
224,473,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
225,474,Strongly Disagree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
226,475,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
227,476,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
228,477,Strongly Agree,Improved my chances a great deal,Agree,Agree,Strongly Agree,Strongly Agree,Agree
229,478,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
230,479,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
231,480,Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Agree,Agree,Strongly Agree
232,481,Moderately Disagree,Improved my chances a little,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree
