ParticipantId- Prefill,Program,"We strive to ensure our community is diverse. Please respond to the following questions about your background, identity, and experiences to the extent you feel comfortable. If you do not want to provide this information, please select “I choose not to provide this information.”",African American/Black,"Please specify your selection, to the degree you feel necessary",Please specify,Asian American,"Please specify your selection, to the degree you feel necessary",Please specify,Latinx or Hispanic,"Please specify your selection, to the degree you feel necessary",Please specify,Native American,Would you prefer to specify your selection?,Please specify,Native Alaskan,Would you prefer to specify your selection?,Please specify,Native Hawaiian/Pacific Islander,"Please specify your selection, to the degree you feel necessary",Please specify,White/Caucasian,"Please specify your selection, to the degree you feel necessary",Please specify,Middle Eastern/North African,"Please specify your selection, to the degree you feel necessary",Please specify,Multi-ethnic/Multi-racial,Would you prefer to specify your selection?,Please specify,Other,Would you prefer to specify your selection?,Please specify,I choose not to provide information about the race/ethnicity I identify with.,What is your gender identity?,How likely would you be to recommend Program to a friend?,NPS Score,Program was one of the most valuable personal or professional development experiences I've ever had.,How much do you think Program has improved your chances of getting the job you want after graduation?,Which of the following changes did you experience while completing the Program Accelerator? Please select all that apply.,"I feel part of a larger Program community of Fellows, alumni, and supporters.",I see Program as more than just a course; I feel like I am part of a broader movement.,I have a mentor who encourages my goals and dreams.,I believe the next generation of leaders will emerge from everywhere.,I was able to build relationships with my cohort and coach while in a virtual/hybrid environment.
21,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Ghanaian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
22,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Ghanaian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
24,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,Other (please specify):,Ghanaian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree
25,NJ: RU-N Spring 2022,I identify as a person of color.,African American/Black,Other (please specify):,Ghanaian,,,,Latinx or Hispanic,Puerto Rican,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
26,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).,I am a graduate student.",African American/Black,"African American,Other (please specify):",Ghanaian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my leadership abilities",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
27,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,"African American,Other (please specify):",Ghanaian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
28,BAY: San Jose Spring 2022,"I identify as a person of color.,I am a graduate student.",African American/Black,Other (please specify):,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals",Agree,Agree,Agree,Agree,Agree
29,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,8,8,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
30,NJ: RU-N Spring 2022,I identify as a person of color.,African American/Black,Other (please specify):,Gambian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,7,7,Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree
31,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Gambian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Somewhat Agree,Agree,Agree,Agree
32,NYC: Lehman Spring 2022,I am a graduate student.,African American/Black,Other (please specify):,Dominican,,,,Latinx or Hispanic,Dominican,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
33,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Dominican,,,,Latinx or Hispanic,Dominican,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
34,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Cruzan,,,,Latinx or Hispanic,Other (please specify):,Panamanian,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Agree,Agree
36,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Black Dominican,,,,Latinx or Hispanic,Dominican,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
37,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Black American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree
38,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I am a graduate student.",African American/Black,Other (please specify):,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
42,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Other (please specify):,Afro Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,7,7,Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
43,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.",African American/Black,Prefer not to specify,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Prefer not to specify,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I made new friends,I explored my career options and defined my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
44,NYC: Lehman Spring 2022,I identify as a person of color.,African American/Black,Prefer not to specify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
45,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,Prefer not to specify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Strongly Agree,Agree
46,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Prefer not to specify,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Prefer not to specify,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree
55,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
56,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).,I am an international student studying abroad in the United States for only 1-2 semesters.,I am a graduate student.",African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
57,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
58,NYC: Lehman Spring 2022,I identify as a person of color.,African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree
59,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,9,9,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Agree,Agree,Strongly Agree
60,BAY: San Jose Spring 2022,I identify as a person of color.,African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Neither Agree nor Disagree,Agree,Agree
61,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
62,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Agree,Moderately improved my chances,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree
63,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
